LONG;0.5000000;1.0000000;0.1449395;BAD; 1.0556621;0.0829213; 1030;  0.7472005; 426019500 06_45_00 PC.gif; True; 0.20; 20; 0.61;0.39;0.71;0.45;0.45;0.62;0.52;0.67;0.79;0.90;0.72;0.63;0.62;0.74;0.64;0.86;0.89;0.75;0.30;0.41;0.14
LONG;0.5000000;1.0000000;-0.2000000;BAD; -0.3346556;-1.5294635; 710;  0.2265423; 426062400 06_40_00 PC.gif; True; 0.20; 23; -0.93;-1.15;-0.94;-1.14;-0.90;-0.94;-0.91;-1.15;-1.30;-1.29;-1.13;-1.07;-0.90;-0.86;-1.14;-1.05;-0.87;-1.08;-0.85;-0.65;-0.57
LONG;0.5000000;1.0000000;0.0892171;BAD; 0.9409160;-0.1795691; 375; - 0.3713476; 426084900 12_55_00 PC.gif; True; 0.20; 11; 0.18;0.22;0.13;0.67;0.42;0.19;0.41;0.44;0.24;0.22;0.16;0.03;-0.05;0.36;0.52;0.35;0.46;0.22;0.20;0.03;0.09
LONG;0.5000000;1.0000000;0.0613200;BAD; 0.4749209;-0.4367127; 225;  0.3195320; 426098700 04_45_00 PC.gif; True; 0.20; 8; 0.18;0.12;0.06;0.12;0.26;0.42;0.08;0.07;0.04;-0.28;-0.04;-0.02;-0.15;0.01;0.04;-0.20;-0.26;-0.16;-0.13;0.01;0.06
LONG;0.5000000;1.0000000;0.5339076;OK; 0.7354691;-0.6130162; 20; - 0.4594534; 426099900 05_05_00 PC.gif; True; 0.20; 23; 0.08;0.25;-0.10;-0.11;-0.14;-0.46;-0.22;-0.20;-0.32;-0.16;-0.14;-0.37;-0.44;-0.34;-0.31;-0.17;-0.12;0.35;0.15;0.35;0.53
LONG;0.5000000;1.0000000;0.7102404;OK; 0.8246661;-0.5571711; 15;  0.6276986; 426100800 05_20_00 PC.gif; True; 0.20; 21; -0.05;-0.08;-0.40;-0.16;-0.14;-0.27;-0.11;-0.08;-0.32;-0.38;-0.28;-0.25;-0.11;-0.06;0.40;0.20;0.41;0.59;0.63;0.63;0.71
LONG;0.5000000;1.0000000;0.7910713;OK; 0.9919817;-0.3189847; 30;  0.8990785; 426102600 05_50_00 PC.gif; True; 0.20; 20; 0.05;0.08;-0.16;-0.22;-0.12;-0.09;0.05;0.10;0.56;0.36;0.57;0.74;0.79;0.79;0.86;0.85;0.83;0.77;0.73;0.85;0.78
LONG;0.5000000;1.0000000;1.0614342;OK; 1.0818012;-0.3698600; 15;  0.7318638; 426103500 06_05_00 PC.gif; True; 0.20; 23; -0.27;-0.17;-0.14;-0.00;0.05;0.51;0.31;0.52;0.69;0.74;0.74;0.81;0.80;0.78;0.72;0.68;0.80;0.73;0.79;0.87;1.05
LONG;0.5000000;1.0000000;1.3000000;OK; 1.6483764;0.1341252; 20;  0.4904526; 426104700 06_25_00 PC.gif; True; 0.20; 23; 0.22;0.68;0.48;0.69;0.87;0.91;0.91;0.98;0.97;0.95;0.89;0.86;0.97;0.91;0.96;1.04;1.22;1.21;1.24;1.36;1.57
LONG;0.5000000;1.0000000;0.2822631;OK; 0.4243281;-0.1994625; 2405;  0.9692732; 426249000 10_30_00 PC.gif; True; 0.20; 23; -0.07;0.11;-0.01;0.07;0.05;-0.01;0.05;0.10;0.03;0.12;0.23;0.20;0.17;0.13;0.09;-0.13;-0.01;0.16;0.25;0.24;0.28
LONG;0.5000000;1.0000000;0.2516489;OK; 0.5654598;-0.0764288; 15;  0.7851595; 426249900 10_45_00 PC.gif; True; 0.20; 21; 0.13;0.12;0.06;0.11;0.16;0.09;0.18;0.30;0.26;0.23;0.19;0.16;-0.07;0.05;0.22;0.32;0.31;0.35;0.49;0.39;0.25
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.3041698;-0.7967123; 755;  0.4232152; 426295200 11_20_00 PC.gif; True; 0.20; 3; 0.09;0.02;-0.33;-0.53;-0.33;-0.27;-0.14;-0.18;-0.34;-0.51;-0.30;-0.37;-0.15;-0.16;-0.02;-0.23;-0.30;-0.55;-0.48;-0.42;-0.65
LONG;0.5000000;1.0000000;-0.0285798;BAD; 0.7610835;-0.2762518; 220;  0.3254257; 426308400 03_00_00 PC.gif; True; 0.20; 9; 0.32;0.48;0.57;0.41;0.34;0.55;0.69;0.53;0.36;0.37;0.58;0.54;0.35;0.51;0.47;0.15;0.23;-0.05;0.04;-0.09;-0.03
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.1431746;-1.2769206; 875; - 0.7746670; 426361200 05_40_00 PC.gif; True; 0.20; 19; -0.67;-0.77;-1.08;-1.05;-1.04;-0.99;-0.94;-0.67;-0.56;-0.20;-0.18;-0.30;-0.39;-0.15;-0.21;-0.24;0.01;-0.10;-0.03;-0.15;-0.23
LONG;0.5000000;1.0000000;-0.0506688;BAD; 0.7746017;-0.8013222; 215;  0.7035542; 426374100 09_15_00 PC.gif; True; 0.20; 10; -0.51;0.08;0.30;0.09;0.25;0.44;0.39;0.63;0.58;0.63;0.43;0.40;0.32;0.20;-0.08;-0.25;0.07;0.04;0.20;-0.09;-0.05
LONG;0.5000000;1.0000000;1.0000000;OK; 1.2872745;0.0788502; 15;  0.2444481; 426375000 09_30_00 PC.gif; True; 0.20; 7; 0.59;0.76;0.95;0.90;1.13;1.09;1.13;0.93;0.90;0.82;0.70;0.43;0.26;0.57;0.55;0.71;0.42;0.46;0.53;0.36;0.10
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.3165576;-1.0471272; 30; - 0.1847507; 426376800 10_00_00 PC.gif; True; 0.20; 3; 0.18;-0.02;-0.04;-0.13;-0.25;-0.52;-0.69;-0.37;-0.40;-0.24;-0.53;-0.49;-0.42;-0.59;-0.85;-0.80;-0.78;-0.91;-0.83;-0.82;-0.86
LONG;0.5000000;1.0000000;1.3000000;OK; 2.5249741;-0.0234197; 105;  0.5146939; 426383100 11_45_00 PC.gif; True; 0.20; 22; 0.14;0.33;0.23;0.10;0.29;0.43;0.34;0.44;0.33;0.31;0.33;0.53;0.54;0.42;0.40;0.37;0.38;0.43;1.22;2.33;2.12
LONG;0.5000000;1.0000000;1.3000000;OK; 2.9843438;1.5107299; 105;  0.9106160; 426389400 01_30_00 PC.gif; True; 0.20; 20; 1.89;1.78;2.08;1.99;2.09;2.45;2.20;2.12;2.12;2.21;2.15;2.22;2.47;2.36;2.44;2.37;2.61;2.55;2.40;2.53;2.51
LONG;0.5000000;1.0000000;1.3000000;OK; 1.9285474;-0.1869280; 450;  0.2396923; 426416400 09_00_00 PC.gif; True; 0.20; 19; 1.00;0.91;0.60;-0.14;0.34;0.76;0.53;0.72;0.94;0.99;0.87;1.14;1.47;1.36;1.52;1.73;1.70;1.58;1.36;1.24;1.30
LONG;0.5000000;1.0000000;0.4230129;OK; 1.2662948;-0.1771773; 1395;  0.3316617; 426500100 08_15_00 PC.gif; True; 0.20; 23; 0.01;0.38;0.67;0.79;0.65;0.74;0.99;0.78;0.61;0.51;0.65;0.60;0.73;0.90;0.92;0.85;0.82;0.73;0.94;0.91;0.42
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.1881500;-1.2256044; 655;  0.6325054; 426539700 07_15_00 PC.gif; True; 0.20; 4; -0.08;-0.04;-0.14;-0.21;0.03;0.12;-0.01;-0.13;0.01;-0.17;-0.23;-0.18;-0.43;-0.85;-0.91;-0.38;-0.52;-0.74;-0.74;-1.09;-1.09
LONG;0.5000000;1.0000000;-0.2000000;BAD; -0.3712022;-2.9216707; 90; - 0.6248750; 426545400 08_50_00 PC.gif; True; 0.20; 3; -0.72;-0.71;-0.44;-0.78;-0.70;-0.84;-0.92;-1.09;-1.19;-1.85;-2.15;-2.60;-2.59;-2.58;-2.31;-2.47;-2.68;-2.29;-1.99;-2.00;-2.01
LONG;0.5000000;1.0000000;0.0447220;BAD; 0.6342992;-0.1624146; 250;  0.6862963; 426560400 01_00_00 PC.gif; True; 0.20; 4; 0.52;0.42;0.30;0.01;0.04;0.06;-0.01;0.10;-0.07;0.16;0.12;-0.00;0.27;0.39;0.29;0.38;0.36;0.21;0.02;0.00;0.04
LONG;0.5000000;1.0000000;0.0302715;BAD; 0.7185893;-0.4786734; 770;  0.4879923; 426606600 01_50_00 PC.gif; True; 0.20; 8; -0.18;-0.41;0.15;0.15;0.30;0.49;0.23;0.01;-0.04;0.10;0.19;0.42;0.50;0.40;0.46;0.30;0.18;0.06;0.06;0.07;0.03
LONG;0.5000000;1.0000000;1.0000000;OK; 1.1001635;-0.5322704; 150;  0.5634061; 426615600 04_20_00 PC.gif; True; 0.20; 13; -0.14;-0.22;-0.32;0.04;0.34;0.19;0.37;0.27;0.08;0.54;0.57;0.56;0.56;0.47;0.25;0.32;0.18;0.31;0.18;0.13;0.08
LONG;0.5000000;1.0000000;1.0000000;OK; 1.0190076;-0.1040593; 230;  0.5127059; 426629400 08_10_00 PC.gif; True; 0.20; 13; -0.03;0.30;0.15;0.44;0.47;0.79;0.74;0.61;0.76;0.86;0.98;0.86;0.94;0.62;0.16;0.44;0.67;0.29;0.44;0.39;0.12
LONG;0.5000000;1.0000000;0.4373311;OK; 0.5018269;-0.1735365; 1220; - 0.7552873; 426702600 04_30_00 PC.gif; True; 0.20; 22; 0.29;0.15;0.06;0.08;-0.08;-0.05;0.09;0.16;0.19;0.32;0.13;0.03;0.14;0.20;0.09;0.27;0.39;0.29;0.37;0.40;0.44
LONG;0.5000000;1.0000000;0.2780508;OK; 0.4899061;-0.1853772; 15;  0.9041530; 426703500 04_45_00 PC.gif; True; 0.20; 19; 0.06;-0.09;-0.06;0.08;0.15;0.18;0.31;0.12;0.02;0.13;0.19;0.08;0.26;0.38;0.28;0.36;0.39;0.42;0.39;0.28;0.28
LONG;0.5000000;1.0000000;0.4625316;OK; 0.4632799;-0.0976429; 15; - 0.9039309; 426704700 05_05_00 PC.gif; True; 0.20; 23; 0.08;0.11;0.25;0.06;-0.04;0.06;0.13;0.01;0.20;0.31;0.22;0.30;0.33;0.36;0.33;0.21;0.21;0.19;0.23;0.29;0.46
LONG;0.5000000;1.0000000;1.3000000;OK; 2.0593984;0.0248452; 10;  0.6509489; 426705300 05_15_00 PC.gif; True; 0.20; 23; 0.37;0.18;0.08;0.18;0.25;0.13;0.32;0.44;0.34;0.42;0.45;0.48;0.45;0.34;0.34;0.31;0.35;0.41;0.58;1.37;1.71
LONG;0.5000000;1.0000000;1.3000000;OK; 1.7377463;-0.2179455; 70;  0.2672964; 426709500 06_25_00 PC.gif; True; 0.20; 21; -0.12;-0.14;-0.10;-0.04;0.13;0.92;1.27;1.16;1.14;1.04;1.21;1.08;1.09;1.04;1.13;1.16;1.31;1.29;1.38;1.23;1.24
LONG;0.5000000;1.0000000;1.3000000;OK; 1.8554417;0.0735988; 20; - 0.1423423; 426710700 06_45_00 PC.gif; True; 0.20; 17; 0.25;1.04;1.38;1.28;1.25;1.16;1.32;1.19;1.20;1.15;1.24;1.28;1.42;1.40;1.49;1.35;1.36;1.47;1.45;1.47;1.51
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.2261445;-0.6608717; 710;  0.9100829; 426753300 06_35_00 PC.gif; True; 0.20; 4; 0.12;0.13;0.08;0.02;0.07;-0.09;-0.14;-0.27;-0.45;-0.31;-0.24;-0.19;-0.37;-0.51;-0.47;-0.42;-0.47;-0.47;-0.62;-0.59;-0.62
LONG;0.5000000;1.0000000;-0.0470532;BAD; 0.4759197;-0.2651681; 520;  0.2802888; 426784500 03_15_00 PC.gif; True; 0.20; 16; 0.11;-0.08;-0.03;0.09;0.06;0.04;0.03;0.08;-0.02;0.02;0.04;0.17;0.38;0.33;0.22;0.23;0.23;0.15;-0.20;0.07;-0.05
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.5018205;-1.1844472; 30;  0.6435154; 426786300 03_45_00 PC.gif; True; 0.20; 10; 0.06;0.10;0.01;0.05;0.06;0.20;0.40;0.35;0.25;0.26;0.25;0.17;-0.18;0.10;-0.02;-0.03;0.10;0.03;-0.05;-0.43;-0.78
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.3995284;-1.2850230; 20;  0.2580589; 426787500 04_05_00 PC.gif; True; 0.20; 6; -0.04;0.10;0.30;0.25;0.15;0.16;0.15;0.07;-0.28;-0.01;-0.12;-0.14;-0.00;-0.07;-0.15;-0.53;-0.88;-0.60;-0.43;-0.46;-0.45
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.4524370;-1.2330022; 15;  0.1722017; 426788400 04_20_00 PC.gif; True; 0.20; 3; 0.31;0.20;0.21;0.20;0.12;-0.23;0.05;-0.07;-0.08;0.05;-0.02;-0.10;-0.48;-0.83;-0.55;-0.38;-0.41;-0.40;-0.33;-0.42;-0.34
LONG;0.5000000;1.0000000;0.2550087;OK; 0.6911105;0.0172867; 310;  0.5598261; 426807300 09_35_00 PC.gif; True; 0.20; 19; 0.25;0.16;0.08;0.23;0.16;0.51;0.50;0.50;0.44;0.36;0.38;0.27;0.37;0.45;0.42;0.55;0.22;0.13;0.17;0.19;0.25
LONG;0.5000000;1.0000000;0.6244826;OK; 0.7205845;-0.2733964; 250;  0.4782041; 426822300 01_45_00 PC.gif; True; 0.20; 22; 0.01;-0.04;0.09;0.15;0.31;0.18;0.08;0.26;0.39;0.32;0.33;0.41;0.52;0.58;0.58;0.53;0.53;0.56;0.67;0.69;0.62
LONG;0.5000000;1.0000000;-0.0823900;BAD; 0.0421072;-0.4341072; 770; - 0.3399842; 426868800 02_40_00 PC.gif; True; 0.20; 18; -0.09;-0.17;-0.26;-0.22;-0.18;-0.11;-0.27;-0.33;-0.40;-0.38;-0.28;-0.26;-0.20;-0.19;-0.12;-0.04;-0.18;0.00;-0.07;-0.06;-0.08
LONG;0.5000000;1.0000000;1.0000000;OK; 2.3881914;0.7936813; 240;  0.8419785; 426883200 06_40_00 PC.gif; True; 0.20; 11; 0.80;1.62;1.86;1.72;1.91;1.77;1.81;1.95;1.88;1.72;1.66;1.69;1.58;1.48;1.53;1.56;1.57;1.54;1.55;1.48;1.33
LONG;0.5000000;1.0000000;-0.0730072;BAD; 0.3290760;-0.2016606; 1745;  0.4512150; 426987900 11_45_00 PC.gif; True; 0.20; 15; 0.07;0.11;0.12;0.00;0.04;-0.13;0.05;0.12;0.20;0.29;0.15;0.31;0.14;0.11;0.07;0.04;0.11;-0.15;-0.14;-0.07;-0.07
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.1083350;-0.9568986; 455;  0.7970475; 427015200 07_20_00 PC.gif; True; 0.20; 3; 0.06;-0.01;-0.06;0.09;-0.00;-0.10;-0.09;-0.13;-0.19;-0.48;-0.41;-0.65;-0.79;-0.75;-0.59;-0.58;-0.64;-0.42;-0.34;-0.22;-0.32
LONG;0.5000000;1.0000000;-0.2000000;BAD; -0.1323250;-1.1450431; 35; - 0.8516887; 427017300 07_55_00 PC.gif; True; 0.20; 3; -0.22;-0.28;-0.57;-0.50;-0.73;-0.87;-0.84;-0.68;-0.66;-0.73;-0.51;-0.42;-0.30;-0.40;-0.73;-0.65;-0.91;-0.74;-0.89;-1.04;-1.03
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.6373179;-2.1330033; 50;  0.5036072; 427020300 08_45_00 PC.gif; True; 0.20; 5; 0.32;0.41;0.53;0.43;0.10;0.18;-0.07;0.09;-0.05;-0.21;-0.19;-0.32;-0.80;-1.33;-1.47;-1.46;-1.55;-1.95;-1.68;-1.61;-1.50
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.4653146;-2.3002717; 10; - 0.4474005; 427020900 08_55_00 PC.gif; True; 0.20; 3; 0.36;0.26;-0.07;0.01;-0.24;-0.08;-0.22;-0.38;-0.36;-0.49;-0.97;-1.50;-1.64;-1.63;-1.73;-2.12;-1.85;-1.79;-1.68;-1.67;-1.58
LONG;0.5000000;1.0000000;-0.2000000;BAD; -0.1924911;-2.2248096; 40;  0.6141195; 427023300 09_35_00 PC.gif; True; 0.20; 3; -0.28;-0.41;-0.90;-1.42;-1.57;-1.55;-1.65;-2.05;-1.77;-1.71;-1.60;-1.59;-1.50;-1.44;-1.47;-1.57;-1.56;-1.81;-1.44;-1.36;-1.63
LONG;0.5000000;1.0000000;0.1724636;OK; 0.7118770;-0.2766668; 1985;  0.5718187; 427142400 06_40_00 PC.gif; True; 0.20; 19; 0.13;0.19;0.20;0.14;0.16;0.18;0.07;0.10;-0.16;-0.01;0.25;0.20;0.17;0.42;0.45;0.50;0.57;0.40;0.39;0.29;0.17
LONG;0.5000000;1.0000000;0.1311485;BAD; 0.5193553;-0.4169880; 635;  0.3813934; 427180500 05_15_00 PC.gif; True; 0.20; 19; 0.20;0.21;-0.01;-0.04;-0.21;-0.11;-0.34;-0.16;-0.13;-0.08;-0.05;-0.23;-0.12;0.06;0.09;0.49;0.27;0.15;0.28;0.04;0.13
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.5696529;-1.7528612; 70; - 0.8838323; 427184700 06_25_00 PC.gif; True; 0.20; 5; 0.14;0.54;0.32;0.20;0.33;0.09;0.18;0.06;0.14;0.21;0.40;0.22;0.30;0.21;-0.78;-0.81;-1.23;-1.38;-1.64;-1.54;-1.67
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.3316741;-2.0197631; 15;  0.1109676; 427185600 06_40_00 PC.gif; True; 0.20; 11; 0.09;0.22;-0.02;0.07;-0.05;0.03;0.10;0.29;0.11;0.19;0.10;-0.89;-0.93;-1.34;-1.50;-1.75;-1.66;-1.78;-1.90;-1.71;-1.76
LONG;0.5000000;1.0000000;1.3000000;OK; 1.6725453;0.0579342; 525;  0.6052266; 427217100 03_25_00 PC.gif; True; 0.20; 16; 0.12;0.39;0.29;0.39;0.47;0.45;0.46;0.48;0.60;0.57;0.53;0.49;0.46;1.46;0.95;0.95;0.83;0.80;0.68;0.72;1.01
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.1459898;-0.8032110; 685;  0.8106481; 427258200 02_50_00 PC.gif; True; 0.20; 3; 0.06;-0.01;0.06;-0.09;-0.02;-0.18;-0.15;-0.15;-0.48;-0.47;-0.44;-0.57;-0.65;-0.72;-0.64;-0.65;-0.62;-0.33;-0.33;-0.26;-0.45
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.1543359;-0.7943521; 10;  0.5609142; 427258800 03_00_00 PC.gif; True; 0.20; 3; 0.07;-0.08;-0.01;-0.17;-0.14;-0.14;-0.47;-0.46;-0.43;-0.56;-0.64;-0.71;-0.63;-0.64;-0.61;-0.32;-0.32;-0.25;-0.44;-0.36;-0.46
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.0013345;-1.0580498; 210;  0.4470257; 427271400 06_30_00 PC.gif; True; 0.20; 21; -0.28;-0.15;-0.26;-0.18;-0.26;-0.19;-0.25;-0.12;-0.23;-0.11;-0.24;-0.39;-0.41;-0.68;-0.63;-0.82;-0.81;-0.32;-0.64;-0.59;-0.53
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.2809281;-0.8337037; 15;  0.5893309; 427272600 06_50_00 PC.gif; True; 0.20; 17; 0.02;0.09;0.03;0.15;0.05;0.17;0.04;-0.11;-0.13;-0.40;-0.35;-0.54;-0.53;-0.04;-0.36;-0.31;-0.25;-0.50;-0.46;-0.67;-0.59
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.3220966;-0.7018992; 415;  0.7600000; 427297500 01_45_00 PC.gif; True; 0.20; 4; 0.20;-0.02;-0.31;-0.39;-0.48;-0.25;-0.22;-0.07;-0.29;-0.43;-0.15;-0.49;-0.59;-0.60;-0.41;-0.53;-0.39;-0.28;-0.43;-0.54;-0.65
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.2247773;-0.2229689; 830;  0.9561932; 427347300 03_35_00 PC.gif; True; 0.20; 10; -0.10;-0.04;-0.02;-0.04;0.04;0.07;0.10;0.19;0.07;0.02;0.04;-0.19;-0.13;-0.18;-0.07;-0.14;-0.05;-0.01;-0.09;-0.02;-0.22
LONG;0.5000000;1.0000000;0.3084219;OK; 0.4876136;-0.2361769; 250;  0.4576809; 427362300 07_45_00 PC.gif; True; 0.20; 20; 0.10;0.15;0.12;0.05;0.04;-0.14;0.05;0.18;0.03;0.06;-0.03;-0.06;0.15;0.15;0.26;0.16;0.14;0.21;0.08;0.22;0.31
LONG;0.5000000;1.0000000;0.3807063;OK; 0.4376671;-0.3344934; 15;  0.7440501; 427363200 08_00_00 PC.gif; True; 0.20; 23; -0.05;-0.06;-0.24;-0.05;0.08;-0.07;-0.04;-0.13;-0.15;0.05;0.05;0.16;0.06;0.04;0.12;-0.02;0.12;0.21;0.19;0.34;0.38
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.0307587;-0.8105388; 1140; - 0.5716302; 427431600 03_00_00 PC.gif; True; 0.20; 3; -0.01;-0.01;-0.09;-0.13;-0.45;-0.49;-0.42;-0.37;-0.25;-0.43;-0.47;-0.43;-0.60;-0.60;-0.63;-0.62;-0.70;-0.71;-0.68;-0.65;-0.59
LONG;0.5000000;1.0000000;-0.2000000;BAD; -0.0815306;-0.8410079; 15; - 0.3734540; 427432500 03_15_00 PC.gif; True; 0.20; 3; -0.16;-0.48;-0.53;-0.45;-0.40;-0.28;-0.46;-0.50;-0.46;-0.63;-0.64;-0.67;-0.65;-0.73;-0.74;-0.71;-0.69;-0.63;-0.69;-0.78;-0.81
LONG;0.5000000;1.0000000;-0.2000000;BAD; -0.2345544;-1.1698737; 10; - 0.7233191; 427433100 03_25_00 PC.gif; True; 0.20; 6; -0.49;-0.41;-0.36;-0.24;-0.43;-0.47;-0.43;-0.60;-0.60;-0.63;-0.62;-0.69;-0.70;-0.67;-0.65;-0.59;-0.65;-0.74;-0.77;-0.94;-1.14
LONG;0.5000000;1.0000000;-0.2000000;BAD; -0.0679976;-0.9969429; 30;  0.8392166; 427434900 03_55_00 PC.gif; True; 0.20; 3; -0.07;-0.24;-0.24;-0.27;-0.26;-0.33;-0.34;-0.31;-0.29;-0.23;-0.29;-0.38;-0.41;-0.58;-0.78;-0.82;-0.77;-0.85;-0.74;-0.57;-0.61
LONG;0.5000000;1.0000000;-0.0415407;BAD; 0.5193371;-0.4362242; 180;  0.7921399; 427445700 06_55_00 PC.gif; True; 0.20; 4; 0.21;0.41;0.30;0.09;-0.17;-0.13;-0.33;-0.24;-0.16;0.07;-0.12;-0.17;-0.13;-0.13;-0.06;0.02;0.05;0.02;0.09;-0.07;-0.04
LONG;0.5000000;1.0000000;0.3237117;OK; 0.5860287;-0.0948712; 45; - 0.6508130; 427448400 07_40_00 PC.gif; True; 0.20; 22; 0.20;0.01;-0.04;-0.00;-0.01;0.06;0.14;0.18;0.15;0.21;0.06;0.08;0.21;0.18;0.32;0.40;0.31;0.26;0.43;0.53;0.32
LONG;0.5000000;1.0000000;-0.0451358;BAD; 0.3877830;-0.2917749; 10; - 0.8701109; 427449600 08_00_00 PC.gif; True; 0.20; 18; -0.21;-0.13;-0.05;-0.02;-0.05;0.01;-0.14;-0.11;0.01;-0.02;0.12;0.20;0.11;0.07;0.23;0.33;0.13;0.16;0.03;-0.07;-0.05
LONG;0.5000000;1.0000000;0.2988003;OK; 0.5882206;-0.0266239; 10;  0.3687790; 427450200 08_10_00 PC.gif; True; 0.20; 16; 0.15;0.18;0.15;0.21;0.06;0.09;0.21;0.18;0.32;0.40;0.31;0.27;0.43;0.53;0.32;0.36;0.23;0.13;0.15;0.25;0.30
LONG;0.5000000;1.0000000;-0.2000000;BAD; 0.8474303;-0.8037360; 640;  0.0209003; 427488600 06_50_00 PC.gif; True; 0.20; 9; -0.05;-0.02;0.44;0.34;0.44;0.68;0.54;0.11;-0.37;-0.41;-0.27;-0.20;-0.37;-0.49;-0.42;-0.50;-0.37;-0.32;-0.44;-0.35;-0.36
